"","latitude","longitude","propertyTaxRate","garageSpaces","parkingSpaces","yearBuilt","latestPrice","numPriceChanges","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","numOfPrimarySchools","numOfElementarySchools","numOfMiddleSchools","numOfHighSchools","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories","city_austin","city_del.valle","city_driftwood","city_manor","city_pflugerville","homeType_Condo","homeType_Multiple.Occupancy","homeType_Single.Family","homeType_Townhouse","homeType_Vacant.Land"
"numOfElementarySchools",0.130217540348588,-0.0260718038283666,-0.0496116108893412,0.0256874882655826,0.0257864226958077,0.0357237333984174,0.151038270835047,0.0241611933947712,0.0162978689298206,-0.010739899039871,0.001308570722856,0.00310997038268789,-0.0156195686268842,-0.0172069146465411,0.0346086189977477,0.00334247989192479,-0.00949099063889882,-0.00186371912664127,0.164377622253655,-0.829416025219873,1,0.418024450299387,-0.33728174194926,-0.00228716681174434,0.172271544999055,0.105460197894344,-0.032029168379468,0.123218575015288,0.0899522287475349,0.0841240148095312,-0.0123682512204939,-0.0164669509275197,-0.00561381991102017,0.0134314007537361,0.0509671037246996,0.0109886321562996,0.00176715622224754,-0.0182759690806371,0.00659304876476008,0.0191622907692413
"numOfMiddleSchools",-0.0222039777692019,-0.217170830081346,-0.0191918390205814,0.043741665111715,0.0433268393727873,0.0777674361537324,0.138502563191482,0.0269073497732003,0.0255805757766202,-0.0060625303614383,0.010329465559566,0.0142722829236755,0.0107556823666767,0.012737503163035,0.016547412307538,0.0135252905681242,0.0430764149853533,-0.0009858633236049,0.186482650521155,-0.536047324848999,0.418024450299387,1,-0.454469133041021,0.155281972533498,0.199806439816814,-0.0247843185835813,-0.0473335625286539,0.133905657436737,0.0887977658132291,0.0607314581205446,-0.00295774269881825,-0.0108071042583698,0.0552820824541693,-0.0027456564927691,-0.00638616778441414,-0.0228606444640803,-0.0107362502779466,0.00778153118851111,-0.00323620349131514,0.0472570997689963
"numOfHighSchools",0.136050522611563,0.456772841135661,-0.0373427738032682,-0.0627034158205118,-0.0623085186904496,-0.00937678342084929,-0.198345819541378,-0.0436851537845009,-0.0481177001174784,-0.00136256810580059,-0.00214585463842112,-0.029739339374097,-0.0406214647879518,-0.0277137047820513,-0.0265626484370517,-0.0515044761880629,-0.0531444851230408,0.000391142169913666,-0.218736026310245,0.53932379711098,-0.33728174194926,-0.454469133041021,1,-0.0618564614003941,-0.260809220379174,0.000596764943693781,-0.220742745024557,-0.16860042864178,-0.113631445935082,-0.0424883145843076,-0.00128080185256699,0.00572809666926536,-0.0505137459821615,0.0436830111244535,0.00338486476494568,0.00660902891602406,-0.00517272783434151,0.0074093052101796,-0.00250799535029802,-0.0299632711693014
"avgSchoolDistance",-0.0370828007552663,-0.284440271477905,-0.0100145482790283,0.0828317260275202,0.0830007289423893,0.324171406641151,0.0934183720308322,0.0053447774753601,0.0485201992033849,-0.00393633773862675,0.0110072906656354,-0.0204062046050125,0.0335158739322275,0.0544295900616285,0.0362866592057957,0.0440261263802679,0.0510582748946883,-0.000938230582959402,0.289900009554954,-0.00263122157338083,-0.00228716681174434,0.155281972533498,-0.0618564614003941,1,0.132560406559021,0.161299559183932,0.145758003048897,0.244255354722853,0.173489731027264,0.0730157219997759,0.0408662719089167,-0.0580716043069905,0.0571829950049842,0.0114501272617889,-0.0252160258379698,-0.0780554967177905,-0.0237904446754065,0.0856973468995723,-0.0451071641078886,0.0123469909532015
"avgSchoolRating",0.259297778733331,-0.560389316835965,0.187130668431141,0.0876000901864141,0.0873358298819533,0.134302919614779,0.287431421224751,0.0439739061117512,0.115913725827039,-0.0183156197403771,0.0360796295676499,0.0846459980352406,0.0533133555464177,0.0472174319457881,0.0286566677764561,0.122625567232498,0.0375045378862669,0.00641185801264206,0.483060572472024,-0.252278681619175,0.172271544999055,0.199806439816814,-0.260809220379174,0.132560406559021,1,0.616915325793336,0.740787981402979,0.354531861713819,0.30801687102478,0.230234764276471,0.116934347712133,-0.112656664903445,0.0255794028453289,-0.0150907023646412,-0.0619563281651231,-0.0501984895560368,-0.0520966778369961,0.0581518234941232,0.0013458378119538,-0.00734778545269849
"avgSchoolSize",0.0735375838455885,-0.332372818030348,0.157318679456925,0.0300349069880477,0.0302247603697554,0.29366027758139,0.0825461090669525,-0.0208114057932209,0.0727061175451134,-0.0154218448480565,0.0428009146367624,0.0264277454219621,0.0224779571033738,0.0352954861084952,0.0145472134116965,0.0789129010156287,-0.0210171224739845,0.00161744992124804,0.329518820311546,-0.0415150041178164,0.105460197894344,-0.0247843185835813,0.000596764943693781,0.161299559183932,0.616915325793336,1,0.636326238445715,0.258545465410917,0.259355778587396,0.226408700985859,-0.056624231053144,0.0932025770235946,-0.0237504711918251,-0.00884153793918531,-0.0216101862903281,-0.0653369325717749,-0.0518775356866793,0.0816547268447942,-0.00421874002867776,-0.0366147694869445
"MedianStudentsPerTeacher",-0.0136250020986769,-0.602367194170957,-0.0188745463081801,0.056809676216133,0.0568359953348597,0.0964596222329257,0.196386106507642,0.0477757049849968,0.0971688372743303,-0.0123105513429892,0.0335155943234687,0.00967301711987821,0.0536154373718924,0.0435827158254284,0.0155548002442467,0.109010498555581,0.00121828745827466,0.00644277025780637,0.3758413287856,0.018528918415086,-0.032029168379468,-0.0473335625286539,-0.220742745024557,0.145758003048897,0.740787981402979,0.636326238445715,1,0.276328088324571,0.25027349017015,0.163848203929192,0.0567193718089231,-0.0401056415680715,0.0143797520774744,-0.033385772941066,-0.0444656399331572,-0.030376575478014,-0.0476588327624222,0.0331631808155973,0.0275519686555223,-0.0207014337463679
"numOfBathrooms",0.057223086191397,-0.33664431009583,0.0657568301631661,0.196806138092932,0.196876574116326,0.430129496757618,0.495698409543798,0.0980898652371223,0.182765152121931,-0.0106755266508083,0.0980122283120067,0.113773990800793,0.0595030657074486,0.0976783133133577,0.0285419841585073,0.0880737689378505,0.0441304562514157,0.0115914667089899,0.770065288720138,-0.157225149516645,0.123218575015288,0.133905657436737,-0.16860042864178,0.244255354722853,0.354531861713819,0.258545465410917,0.276328088324571,1,0.61182255619284,0.55574681174141,0.0114896612323561,-0.0264542972398832,0.0427504619709501,0.00994959194170153,-0.008333062808847,-0.0308694265713789,0.0222950644032351,0.0631181183914259,0.00126033101033226,-0.150015047204247
"numOfBedrooms",0.0757749306434573,-0.291718545897295,0.100448296367594,0.160404850688799,0.160357178908185,0.279945282259709,0.290840370853399,0.0904049995341487,0.153467983320747,-0.0232663822551114,0.049333027411497,0.100917974916351,0.0439402798488364,0.0698116659189158,0.00205349154893315,0.0769419938434067,0.0425051744441774,0.00588502196165088,0.654025699268093,-0.110262863469446,0.0899522287475349,0.0887977658132291,-0.113631445935082,0.173489731027264,0.30801687102478,0.259355778587396,0.25027349017015,0.61182255619284,1,0.329881626607312,-0.000969606230350012,-0.00737652292503142,0.0254098560144662,-0.000992703467449019,0.00019662551988546,-0.203603146244922,0.0978784955337498,0.192411109713549,-0.0861762007217505,-0.0898499926910907
"numOfStories",0.0479205563097919,-0.159955636802643,0.0583568095440697,0.0972140564492151,0.0976432398151793,0.375064719198031,0.201860240560541,0.100101713500256,0.104734151880666,-0.0102206057946075,0.0971632185897437,0.105163276466164,0.0161676152999857,0.0620114661634925,0.017544921063058,0.0573066551015809,0.0134052239914,0.00937676527573482,0.451635750129897,-0.0723112888081846,0.0841240148095312,0.0607314581205446,-0.0424883145843076,0.0730157219997759,0.230234764276471,0.226408700985859,0.163848203929192,0.55574681174141,0.329881626607312,1,0.0209447264853608,-0.0176969103115431,-0.0242884998391892,-0.0103409739423348,0.00469114641888116,0.0843600599312256,-0.0148847316770885,-0.0899318812811769,0.0740236523210625,-0.0158030981710186
